STATION,STATION_NAME,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,SNOW,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation,AWND,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070101,0.00, , ,0,2400,0.0, , ,0,9999,43, , ,0,2400,29, , ,0,2400,13.2, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070102,0.00, , ,0,2400,0.0, , ,0,9999,43, , ,0,2400,26, , ,0,2400,9.6, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070103,0.00, , ,0,2400,0.0, , ,0,9999,48, , ,0,2400,33, , ,0,2400,15.7, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070104,0.66, , ,0,2400,0.0, , ,0,9999,52, , ,0,2400,39, , ,0,2400,17.4, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070105,0.03, , ,0,2400,0.0, , ,0,9999,50, , ,0,2400,42, , ,0,2400,8.1, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070106,0.02, , ,0,2400,0.0, , ,0,9999,42, , ,0,2400,29, , ,0,2400,8.5, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070107,0.05, , ,0,2400,0.0,T, ,0,9999,41, , ,0,2400,27, , ,0,2400,8.7, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070108,0.00,T, ,0,2400,0.0,T, ,0,9999,39, , ,0,2400,26, , ,0,2400,13.2, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070109,0.00, , ,0,2400,0.0, , ,0,9999,33, , ,0,2400,22, , ,0,2400,15.7, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070110,0.00, , ,0,2400,0.0, , ,0,9999,35, , ,0,2400,18, , ,0,2400,11.9, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070111,0.02, , ,0,2400,0.0, , ,0,9999,45, , ,0,2400,35, , ,0,2400,19.0, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070112,0.19, , ,0,2400,0.0,T, ,0,9999,48, , ,0,2400,33, , ,0,2400,9.4, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070113,0.00,T, ,0,2400,0.0,T, ,0,9999,33, , ,0,2400,29, , ,0,2400,11.9, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070114,0.43, , ,0,2400,0.0,T, ,0,9999,33, , ,0,2400,30, , ,0,2400,10.7, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070115,0.21, , ,0,2400,1.6, , ,0,9999,33, , ,0,2400,21, , ,0,2400,12.1, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070116,0.00,T, ,0,2400,0.0,T, ,0,9999,23, , ,0,2400,11, , ,0,2400,10.7, , ,W,9999
GHCND:USW00094846,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,20070117,0.00,T, ,0,2400,0.0,T, ,0,9999,22, , ,0,2400,9, , ,0,2400,9.4, , ,W,9999
